trial_id,epoch,train_loss,val_loss,train_mae,val_mae,learning_rate,elapsed_sec,lstm1_units,lstm2_units,dropout,batch_size,width_floor_pts,width_floor_weight,width_norm,width_floor_pct,mae_pts_GE1,mae_pts_GE2,mae_pts_VP,mae_pts_VA,mae_pts_CG,mae_pts_MB,mae_pts_MA,mae_pts_MP,cov_10_90_GE1,cov_10_90_GE2,cov_10_90_VP,cov_10_90_VA,cov_10_90_CG,cov_10_90_MB,cov_10_90_MA,cov_10_90_MP,width_10_90_GE1,width_10_90_GE2,width_10_90_VP,width_10_90_VA,width_10_90_CG,width_10_90_MB,width_10_90_MA,width_10_90_MP
default,19,1.150228,1.016085,0.313892,0.293822,0.000799,2249.80,64,32,0.3,32,0.5,0.05,0.657,0.121,1.7148,0.6148,1.2531,0.0996,0.6943,1.4136,0.6371,0.7505,0.680,0.678,0.751,0.450,0.765,0.680,0.692,0.591,3.915,1.182,3.477,0.226,1.665,3.037,1.245,1.422
v6-fb-final-v2,6,1.451836,1.136035,0.394171,0.347937,0.000800,845.26,64,32,0.2,32,0.5,0.05,0.839,0.105,1.7390,0.8482,1.6465,0.1026,0.7028,1.9318,0.7158,0.8404,0.770,0.465,0.511,0.903,0.879,0.559,0.729,0.874,5.055,1.601,3.564,0.376,1.976,3.954,1.548,2.236
default,20,1.111568,0.961456,0.313207,0.273239,0.000798,2370.30,64,32,0.3,32,0.5,0.05,0.758,0.125,1.4917,0.6818,1.2476,0.0444,0.6886,1.2875,0.6892,0.6414,0.797,0.787,0.809,0.877,0.838,0.843,0.741,0.838,4.589,1.658,3.914,0.141,1.454,3.864,1.842,1.578
v6-fb-final-v2,7,1.430105,1.083287,0.385962,0.333067,0.000800,961.29,64,32,0.2,32,0.5,0.05,0.811,0.111,1.7976,0.8983,1.4071,0.0695,0.7402,1.5424,0.9341,0.7958,0.702,0.504,0.702,0.719,0.857,0.707,0.627,0.690,4.743,1.442,3.530,0.267,2.229,3.718,2.008,1.867
default,21,1.097088,1.003706,0.308501,0.281553,0.000798,2487.62,64,32,0.3,32,0.5,0.05,0.627,0.124,1.5385,0.6058,1.6542,0.0387,0.6272,1.4077,0.5803,0.6317,0.702,0.712,0.574,0.886,0.787,0.617,0.831,0.789,3.976,1.090,3.245,0.160,1.371,2.811,1.518,1.450
v6-fb-final-v2,8,1.364666,1.118405,0.372026,0.310090,0.000800,1078.38,64,32,0.2,32,0.5,0.05,0.925,0.109,1.8584,0.6652,1.5522,0.1070,0.6810,1.3033,0.6734,0.7538,0.806,0.850,0.678,0.634,0.835,0.843,0.925,0.838,5.986,1.536,4.525,0.304,1.673,4.255,2.434,2.181
default,22,1.079624,0.977081,0.301370,0.266235,0.000798,2593.35,64,32,0.3,32,0.5,0.05,0.689,0.123,1.6483,0.6430,1.2728,0.0309,0.6083,1.2747,0.5962,0.6364,0.736,0.780,0.809,0.939,0.823,0.792,0.864,0.823,4.017,1.396,3.740,0.171,1.435,3.275,1.568,1.528
v6-fb-final-v2,9,1.342427,1.080088,0.368278,0.307881,0.000800,1186.50,64,32,0.2,32,0.5,0.05,0.722,0.117,1.8768,0.6742,1.5069,0.0904,0.7380,1.2978,0.6756,0.7242,0.651,0.671,0.567,0.351,0.818,0.768,0.780,0.818,4.854,1.330,3.105,0.214,1.788,3.369,1.558,1.699
default,23,1.069835,1.009234,0.303537,0.275284,0.000798,2722.61,64,32,0.3,32,0.5,0.05,0.657,0.122,1.5691,0.6129,1.3145,0.0604,0.7261,1.3268,0.5900,0.6218,0.746,0.794,0.755,0.801,0.661,0.748,0.794,0.804,3.789,1.283,3.691,0.183,1.291,3.311,1.318,1.465
v6-fb-final-v2,10,1.315650,1.099205,0.354511,0.311407,0.000800,1313.43,64,32,0.2,32,0.5,0.05,0.896,0.114,1.6988,0.6047,1.3919,0.1614,0.7659,1.3031,0.7265,0.7484,0.826,0.947,0.775,0.131,0.700,0.857,0.777,0.809,6.081,1.914,3.787,0.257,1.743,4.823,1.867,1.925
default,24,1.051074,1.028714,0.294107,0.307753,0.000797,2853.39,64,32,0.3,32,0.5,0.05,0.657,0.123,1.5488,0.5985,2.0697,0.0625,0.5989,1.5594,0.6346,0.6316,0.688,0.811,0.349,0.584,0.826,0.559,0.717,0.789,3.976,1.358,3.461,0.155,1.374,3.456,1.288,1.380
v6-fb-final-v2,11,1.303542,1.038635,0.354648,0.294448,0.000800,1445.17,64,32,0.2,32,0.5,0.05,0.770,0.116,1.6095,0.7406,1.2890,0.1339,0.6451,1.2387,0.6840,0.7036,0.722,0.668,0.765,0.341,0.845,0.845,0.857,0.823,4.087,1.550,3.629,0.275,1.627,3.980,1.852,1.774
default,25,1.046155,1.074772,0.296428,0.261271,0.000797,2984.51,64,32,0.3,32,0.5,0.05,0.734,0.118,1.4453,0.6033,1.2835,0.0424,0.5997,1.2524,0.6135,0.6634,0.801,0.792,0.799,0.855,0.811,0.857,0.646,0.845,4.633,1.263,3.974,0.204,1.353,4.041,1.244,1.727
v6-fb-final-v2,12,1.278103,1.046516,0.349060,0.283052,0.000800,1575.31,64,32,0.2,32,0.5,0.05,0.786,0.109,1.5018,0.6909,1.2939,0.0666,0.6363,1.4031,0.6379,0.7335,0.826,0.719,0.785,0.923,0.794,0.816,0.770,0.719,4.881,1.415,3.803,0.367,1.447,4.384,1.445,1.536
default,26,1.030675,0.998475,0.293783,0.280508,0.000797,3103.92,64,32,0.3,32,0.5,0.05,0.683,0.118,1.5378,0.6124,1.4820,0.0366,0.5811,1.3407,0.6315,0.7970,0.680,0.685,0.726,0.949,0.816,0.724,0.668,0.789,3.653,1.112,4.302,0.200,1.440,3.105,1.287,1.780
v6-fb-final-v2,13,1.227862,1.044579,0.335954,0.292576,0.000800,1692.78,64,32,0.2,32,0.5,0.05,0.721,0.118,1.6153,0.6061,1.4307,0.0659,0.8212,1.3285,0.6357,0.7130,0.765,0.743,0.663,0.661,0.554,0.772,0.804,0.823,4.797,1.239,3.411,0.222,1.326,3.917,1.481,1.630
default,27,1.039404,1.017324,0.297915,0.267044,0.000796,3211.34,64,32,0.3,32,0.5,0.05,0.686,0.113,1.4176,0.5858,1.3277,0.0884,0.5826,1.3047,0.5879,0.6291,0.751,0.799,0.717,0.731,0.845,0.731,0.867,0.792,4.020,1.249,3.542,0.267,1.404,3.336,1.562,1.437
v6-fb-final-v2,14,1.239080,1.026967,0.337411,0.287905,0.000799,1801.20,64,32,0.2,32,0.5,0.05,0.766,0.122,1.7250,0.6468,1.4161,0.0527,0.6754,1.3171,0.6527,0.6981,0.678,0.930,0.688,0.908,0.777,0.792,0.840,0.910,4.027,1.892,3.496,0.194,1.559,3.766,1.779,2.077
default,28,1.008693,0.989708,0.290644,0.267352,0.000796,3324.18,64,32,0.3,32,0.5,0.05,0.693,0.122,1.5879,0.6047,1.3198,0.0301,0.6248,1.3101,0.6373,0.6175,0.661,0.792,0.719,0.942,0.932,0.755,0.705,0.804,4.215,1.282,3.579,0.165,1.870,3.682,1.174,1.389
v6-fb-final-v2,15,1.217556,1.030319,0.334736,0.281188,0.000799,1913.64,64,32,0.2,32,0.5,0.05,0.779,0.117,1.4475,0.6848,1.3037,0.0436,0.7533,1.3613,0.6461,0.7140,0.809,0.726,0.775,0.891,0.724,0.734,0.809,0.923,4.667,1.447,3.879,0.222,1.609,3.452,1.519,2.417
default,29,0.993890,1.069465,0.286046,0.269158,0.000796,3439.30,64,32,0.3,32,0.5,0.05,0.688,0.112,1.5143,0.6339,1.4023,0.0553,0.5852,1.2713,0.5758,0.6539,0.748,0.729,0.731,0.881,0.821,0.758,0.831,0.729,4.147,1.218,3.668,0.261,1.412,3.365,1.453,1.421
v6-fb-final-v2,16,1.194739,1.110876,0.325750,0.302817,0.000799,2029.08,64,32,0.2,32,0.5,0.05,0.694,0.119,1.5205,0.6932,1.3134,0.0462,0.6280,1.7232,0.6178,0.9717,0.717,0.707,0.688,0.889,0.809,0.625,0.755,0.538,3.723,1.281,3.101,0.207,1.467,4.298,1.276,1.786
default,30,0.972709,1.059535,0.282321,0.275374,0.000795,3575.36,64,32,0.3,32,0.5,0.05,0.746,0.110,1.4070,0.5981,1.4819,0.0279,0.5900,1.2722,0.7430,0.7524,0.811,0.697,0.753,0.966,0.835,0.806,0.637,0.751,4.215,1.151,4.312,0.276,1.419,3.773,1.499,1.730
v6-fb-final-v2,17,1.188165,1.026550,0.325912,0.270796,0.000799,2164.80,64,32,0.2,32,0.5,0.05,0.676,0.117,1.3563,0.7557,1.2849,0.0554,0.6453,1.2049,0.6572,0.6778,0.775,0.663,0.729,0.857,0.785,0.840,0.639,0.826,3.693,1.350,3.352,0.215,1.296,3.831,1.304,1.643
default,31,0.957335,1.032774,0.283922,0.260881,0.000795,3706.64,64,32,0.3,32,0.5,0.05,0.762,0.116,1.4005,0.6292,1.3188,0.0258,0.6188,1.3817,0.5647,0.6151,0.818,0.753,0.801,0.886,0.845,0.792,0.896,0.901,4.246,1.304,4.276,0.205,1.425,3.852,1.667,1.935
