trial_id,epoch,train_loss,val_loss,learning_rate,elapsed_sec,lstm1_units,lstm2_units,dropout,batch_size
default,30,0.725800,0.459186,0.0005,3026.92,64,32,0.3,32
default,29,0.746526,0.460519,0.0005,2935.65,64,32,0.3,32
default,78,0.634357,0.433010,0.0005,5930.45,64,32,0.3,32
default,31,0.726859,0.455846,0.0005,3099.22,64,32,0.3,32
default,30,0.751895,0.469946,0.0005,2999.59,64,32,0.3,32
default,32,0.725246,0.452959,0.0005,3186.67,64,32,0.3,32
default,79,0.638425,0.427522,0.0005,6029.18,64,32,0.3,32
default,31,0.743424,0.462402,0.0005,3114.79,64,32,0.3,32
default,80,0.631652,0.431525,0.0005,6145.78,64,32,0.3,32
default,33,0.718154,0.453741,0.0005,3326.38,64,32,0.3,32
default,32,0.740226,0.458783,0.0005,3248.08,64,32,0.3,32
default,81,0.627004,0.432619,0.0005,6259.12,64,32,0.3,32
default,34,0.721472,0.454362,0.0005,3452.65,64,32,0.3,32
default,33,0.725537,0.456895,0.0005,3370.49,64,32,0.3,32
default,82,0.638510,0.432946,0.0005,6371.10,64,32,0.3,32
default,35,0.725367,0.465939,0.0005,3579.72,64,32,0.3,32
default,34,0.735918,0.454999,0.0005,3490.68,64,32,0.3,32
default,83,0.629454,0.434002,0.0005,6494.76,64,32,0.3,32
default,36,0.733181,0.456018,0.0005,3695.94,64,32,0.3,32
default,35,0.738695,0.457233,0.0005,3606.80,64,32,0.3,32
default,84,0.628290,0.440208,0.0005,6619.70,64,32,0.3,32
default,37,0.713183,0.451940,0.0005,3819.20,64,32,0.3,32
default,36,0.736261,0.463187,0.0005,3729.55,64,32,0.3,32
default,85,0.630559,0.434494,0.0005,6744.48,64,32,0.3,32
default,38,0.708826,0.449565,0.0005,3957.88,64,32,0.3,32
default,37,0.730736,0.455564,0.0005,3868.14,64,32,0.3,32
default,86,0.631314,0.431333,0.0005,6868.78,64,32,0.3,32
default,39,0.717200,0.451119,0.0005,4097.59,64,32,0.3,32
default,38,0.725464,0.459518,0.0005,4000.84,64,32,0.3,32
default,87,0.634601,0.424702,0.0005,6975.12,64,32,0.3,32
default,40,0.713898,0.445372,0.0005,4225.81,64,32,0.3,32
default,39,0.727421,0.457000,0.0005,4135.88,64,32,0.3,32
default,88,0.631509,0.423744,0.0005,7100.53,64,32,0.3,32
default,41,0.711544,0.452215,0.0005,4368.02,64,32,0.3,32
default,89,0.626446,0.434792,0.0005,7227.02,64,32,0.3,32
default,40,0.723394,0.453817,0.0005,4279.08,64,32,0.3,32
default,42,0.710699,0.462324,0.0005,4508.18,64,32,0.3,32
default,90,0.635926,0.437323,0.0005,7352.87,64,32,0.3,32
default,41,0.723897,0.450758,0.0005,4416.27,64,32,0.3,32
default,91,0.628497,0.441101,0.0005,7469.69,64,32,0.3,32
default,43,0.704991,0.447600,0.0005,4641.18,64,32,0.3,32
default,42,0.726448,0.443995,0.0005,4540.91,64,32,0.3,32
default,92,0.624772,0.427698,0.0005,7581.84,64,32,0.3,32
default,44,0.704214,0.444994,0.0005,4763.30,64,32,0.3,32
default,43,0.726644,0.456443,0.0005,4660.55,64,32,0.3,32
default,93,0.625527,0.439311,0.0005,7695.14,64,32,0.3,32
default,45,0.708121,0.446079,0.0005,4884.74,64,32,0.3,32
default,44,0.727568,0.457564,0.0005,4780.78,64,32,0.3,32
default,94,0.625621,0.428048,0.0005,7807.67,64,32,0.3,32
default,46,0.704365,0.454298,0.0005,5007.96,64,32,0.3,32
default,45,0.709446,0.455721,0.0005,4902.33,64,32,0.3,32
default,95,0.629449,0.435219,0.0005,7919.87,64,32,0.3,32
default,47,0.700251,0.446145,0.0005,5129.36,64,32,0.3,32
default,46,0.710799,0.447690,0.0005,5018.27,64,32,0.3,32
default,96,0.622134,0.422879,0.0005,8004.70,64,32,0.3,32
default,48,0.700476,0.442618,0.0005,5221.78,64,32,0.3,32
default,97,0.622166,0.426788,0.0005,8063.35,64,32,0.3,32
default,47,0.719269,0.448941,0.0005,5106.45,64,32,0.3,32
default,98,0.620377,0.428431,0.0005,8122.49,64,32,0.3,32
default,49,0.701489,0.444894,0.0005,5309.61,64,32,0.3,32
default,48,0.707682,0.457323,0.0005,5195.29,64,32,0.3,32
