trial_id,epoch,train_loss,val_loss,train_mae,val_mae,learning_rate,elapsed_sec,lstm1_units,lstm2_units,dropout,batch_size
default,51,0.641996,0.330404,0.184236,0.132092,0.000345,5156.81,64,32,0.3,32,1.4237,0.0508,1.1779,0.0236,0.0344,1.2990,0.0452,0.0421,0.746,0.934,0.870,0.694,0.925,0.929,0.823,0.753,4.032,0.145,4.702,0.147,0.218,5.382,0.131,0.076
default,52,0.642027,0.292065,0.193698,0.125871,0.000339,5257.18,64,32,0.3,32,1.4100,0.0287,1.2167,0.0363,0.0262,1.1723,0.0329,0.0456,0.731,0.689,0.799,0.985,0.984,0.862,0.901,0.918,3.889,0.118,4.702,0.608,0.476,4.416,0.167,0.172
default,53,0.640029,0.505227,0.184206,0.132021,0.000333,5378.22,64,32,0.3,32,1.4116,0.0528,1.2033,0.0343,0.0287,1.2652,0.0420,0.0420,0.702,0.793,0.935,0.714,0.865,0.903,0.677,0.479,3.840,0.324,5.650,0.199,0.176,5.029,0.096,0.056
default,54,0.630198,0.514170,0.193438,0.165554,0.000327,5478.77,64,32,0.3,32,1.6563,0.0596,1.2381,0.0693,0.1210,1.2737,0.1166,0.0452,0.527,0.271,0.972,0.989,0.955,0.902,0.217,0.998,3.150,0.065,7.064,0.421,0.230,5.481,0.114,0.548
default,0,28.951830,1.883291,2.349488,0.747138,0.000100,80.22,64,32,0.3,32,0.5,0.05,3.257,0.004,4.7385,0.5975,2.7582,0.7578,0.9969,3.8870,0.6184,0.5272,0.744,0.750,0.698,0.782,0.843,0.902,0.603,0.872,35.918,1.141,12.356,1.691,6.782,15.338,0.961,2.119
default,55,0.589048,0.281775,0.187500,0.123849,0.000321,5558.81,64,32,0.3,32,1.3977,0.0277,1.2487,0.0215,0.0284,1.1388,0.0365,0.0420,0.539,0.912,0.967,0.972,0.810,0.873,0.740,0.747,2.690,0.168,6.720,0.253,0.244,4.509,0.123,0.143
default,1,3.239491,0.701107,1.075407,0.476743,0.000200,159.45,64,32,0.3,32,0.5,0.05,1.486,0.001,3.9352,0.3905,1.9019,0.2904,0.5371,2.6796,0.3684,0.3933,0.855,0.908,0.859,0.890,0.885,0.824,0.790,0.501,9.708,1.318,8.255,1.223,1.373,9.424,1.061,0.860
default,56,0.572097,0.485944,0.186992,0.127099,0.000315,5638.63,64,32,0.3,32,1.4152,0.0286,1.2031,0.0212,0.0232,1.1563,0.0741,0.0386,0.802,0.392,0.954,0.283,0.690,0.926,0.991,0.455,4.331,0.081,6.169,0.067,0.319,5.455,0.489,0.162
default,2,2.283957,0.555427,0.660701,0.379938,0.000300,264.36,64,32,0.3,32,0.5,0.05,1.218,0.025,3.2189,0.2800,1.7850,0.2397,0.3550,2.2874,0.2897,0.2965,0.824,0.873,0.762,0.888,0.914,0.815,0.803,0.425,7.979,0.902,6.657,0.999,1.156,8.861,0.780,0.696
default,57,0.631116,0.325168,0.180272,0.125654,0.000309,5752.05,64,32,0.3,32,1.4083,0.0364,1.1918,0.0265,0.0345,1.1317,0.0508,0.0358,0.820,0.565,0.821,0.647,0.888,0.913,0.524,0.987,4.683,0.173,4.297,0.177,0.158,5.096,0.086,0.214
default,3,1.517458,0.384034,0.499425,0.274808,0.000400,384.44,64,32,0.3,32,0.5,0.05,1.122,0.242,2.5599,0.2348,1.6979,0.1524,0.1716,1.7915,0.1512,0.1723,0.796,0.868,0.776,0.888,0.880,0.822,0.914,0.627,7.788,0.712,5.694,0.686,0.645,12.329,0.735,0.430
