severity,type,description,competition_slug,season,event_name,caption_name,score,count
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2023,"DCI Cincinnati",7 Music Ensemble,,20
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2023,"DCI Cincinnati",8 Percussion,,20
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2023,"DCI Cincinnati",Music Comm,,20
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2023,"DCI Cincinnati",Penalties,,20
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2023,"DCI Cincinnati",Visual Comm,,20
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2022,"DCI Cincinnati",1 Visual Effect,,16
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2022,"DCI Cincinnati",2 Music Effect,,16
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2022,"DCI Cincinnati",4 Visual Ensemble,,16
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2022,"DCI Cincinnati",5 Color Guard,,16
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2022,"DCI Cincinnati",6 Brass,,16
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2022,"DCI Cincinnati",7 Music Ensemble,,16
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2022,"DCI Cincinnati",8 Percussion,,16
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2022,"DCI Cincinnati",Music Comm,,16
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2022,"DCI Cincinnati",Penalties,,16
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2022,"DCI Cincinnati",Visual Comm,,16
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2019,"March On!",1 Visual Effect,,11
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2019,"March On!",2 Music Effect,,11
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2019,"March On!",4 Visual Ensemble,,11
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2019,"March On!",5 Color Guard,,11
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2019,"March On!",6 Brass,,11
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2019,"March On!",7 Music Ensemble,,11
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2019,"March On!",8 Percussion,,11
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2019,"March On!",Music Comm,,11
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2019,"March On!",Penalties,,11
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2019,"March On!",Visual Comm,,11
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2018,"Tour of Champions – Chester",1 Visual Effect,,12
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2018,"Tour of Champions – Chester",2 Music Effect,,12
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2018,"Tour of Champions – Chester",4 Visual Ensemble,,12
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2018,"Tour of Champions – Chester",5 Color Guard,,12
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2018,"Tour of Champions – Chester",6 Brass,,12
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2018,"Tour of Champions – Chester",7 Music Ensemble,,12
